"대여소
번호",보관소(대여소)명,자치구,상세주소,위도(Y),경도(X),"설치
시기",설치형태,,"운영
방식"
2541,옛골 입구,서초구,청계산로 434,37.43097687,127.0703354,2020-02-19,,15,QR
1861,IBK기업은행 석수역 지점 앞,금천구,시흥대로46 IBK기업은행 석수역 지점,37.4369812,126.9032974,2020-02-24,,10,QR
1858,석수역1번출구 앞 (SK주유소),금천구,금천구 시흥동 1001-34,37.43727112,126.9026871,2018-10-15,10,,LCD
1820,신한은행 시흥대로금융센터지점,금천구,서울특별시 금천구 시흥대로 446,37.4433403,126.9033585,2017-05-08,10,,LCD
1816,금천폭포공원 앞,금천구,서울특별시 금천구 시흥대로38길 61,37.44686127,126.9038315,2017-05-08,20,,LCD
2203,청계산입구역 2번출구,서초구,서울특별시 서초구 청계산로 지하 179,37.44765854,127.0550156,2017-06-27,20,,LCD
1868,우리은행 시흥남자동화점 앞,금천구,시흥대로155,37.44785309,126.9028854,2020-02-24,,15,QR
2202,청계산입구역 1번출구,서초구,서울특별시 서초구 청계산로 지하 179,37.44893646,127.0543747,2017-06-01,20,,LCD
2270,서초포레스타 7단지,서초구,서울특별시 신원동 266,37.44896698,127.0577393,2017-11-01,10,,LCD
2501,서초 포레스타5단지,서초구,신원동 347-6,37.45066071,127.0570602,2018-09-03,10,,LCD
1855,성지아파트 옆 도로변,금천구,금천구 시흥대로51길55,37.45132065,126.8976212,2018-10-01,10,,LCD
1821,홈플러스 시흥점 맞은편 다비치안경 앞,금천구,서울특별시 금천구 시흥대로 198,37.45145798,126.9021149,2017-05-08,10,,LCD
1852,혜명양로원 담장 옆,금천구,금하로29길36(시흥동),37.45177078,126.9133987,2018-10-15,10,,LCD
3967,혜명양로원 담장 옆(2),금천구,금하로29길 36,37.45191956,126.9137573,2021-07-23,,6,QR
4323,내곡도서관,서초구,신원동 328,37.45199966,127.0539169,2021-07-13,,7,QR
1822,서울 시흥동우체국 앞,금천구,서울특별시 금천구 시흥대로 217,37.45299149,126.9009094,2017-05-08,10,,LCD
2201,본마을 정류소 앞,서초구,서울특별시 서초구 본마을2길 2,37.4532814,127.0514832,2017-06-01,20,,LCD
2205,내곡3단지 어린이공원 앞,서초구,서울특별시 서초구 청계산로9길 76,37.45375061,127.0593796,2017-06-01,15,,LCD
3959,시흥사거리(시흥동 994-3 앞),금천구,시흥동 1000-48 알레르망 가게 앞,37.45415115,126.9004517,2021-02-16,,10,QR
4322,서울추모공원 입구,서초구,서초구 원지동 산83-9(추모공원내),37.45429993,127.0428314,2021-06-23,,15,QR
2206,언남초등학교 앞,서초구,서울특별시 서초구 헌릉로8길 42,37.45435715,127.0621033,2017-06-01,20,,LCD
2207,내곡파출소 뒤 정자,서초구,서울특별시 서초구 헌릉로 226,37.45440674,127.0649262,2017-06-27,9,,LCD
2516,본마을 노인복지센터 앞,서초구,서울특별시 서초구 본마을2길 2,37.45441818,127.052742,2020-02-19,,10,QR
1825,한신아파트 앞 육교 아래,금천구,서울특별시 금천구 금하로1길 70,37.45470047,126.8910523,2020-11-05,,10,QR
2288,안골마을입구,서초구,서울특별시 서초구 안골2길 3,37.45560837,127.0644531,2017-11-28,10,,LCD
2287,능안마을입구,서초구,서울특별시 서초구 능안말길 1-2,37.45561981,127.0671005,2017-11-28,10,,LCD
2250,서초유치원 맞은편,서초구,서울특별시 서초구 양재대로2길 74,37.4557991,127.0162888,2017-06-22,10,,LCD
2249,우솔초등학교 맞은편,서초구,서울특별시 서초구 양재대로2길 74,37.45623398,127.0193481,2017-06-22,10,,LCD
1865,금천구청앞(M빌딩),금천구,시흥대로67 옆,37.45633316,126.8964539,2020-02-24,,10,QR
1819,금천구청 앞 자전거거치대,금천구,서울특별시 금천구 시흥대로73길 70,37.45647812,126.8959274,2017-05-10,10,,LCD
1864,산호시티빌 옆,금천구,시흥대로 251 옆,37.45652008,126.8995514,2020-02-26,,15,QR
1827,독산보도육교 앞 자전거 보관소,금천구,서울특별시 금천구 서부샛길 70,37.45672607,126.8930664,2021-09-16,,20,QR
1826,한신코아 앞,금천구,서울특별시 금천구 한내로 62,37.45684052,126.8883438,2017-05-08,20,,LCD
3983,금천구청역 1번 출구,금천구,금천구 시흥동 113-82,37.45717239,126.8944778,2021-09-28,,5,QR
4309,서초케이트타운앞,서초구,신원동 산63,37.4572258,127.0590057,2021-02-19,,10,QR
3958,"롯데캐슬2차 마을버스 정류장(18804)
 뒤편",금천구,시흥동 113-77 자전거도로 시작점 뒤,37.45739746,126.8934174,2021-02-16,,10,QR
2285,LH서초3단지 301동 맞은편,서초구,서울특별시 서초구 양재대로2길 33,37.45742416,127.0226517,2017-11-28,15,,LCD
1866,서울안천초등학교 옆,금천구,한내로 69-16,37.45777893,126.8894272,2020-02-26,,20,QR
3971,순흥안씨묘 건너편,금천구,"시흥동 808-5,6",37.45838165,126.9080734,2021-08-30,,11,QR
2286,탑성마을입구,서초구,서울특별시 서초구 탑성말길 2,37.4585495,127.0558853,2017-11-28,10,,LCD
1823,상신정비공업 앞,금천구,서울특별시 금천구 시흥대로 287,37.4589119,126.8985901,2017-05-08,20,,LCD
3970,시흥4동주민센터 앞,금천구,독산로36길 14,37.45894241,126.9059296,2021-08-30,,6,QR
1869,롯데캐슬골드파크3차 301동 앞,금천구,"시흥대로291, 롯데캐슬3차 301동 앞",37.45901871,126.8967133,2020-02-26,,15,QR
4314,탑성마을 버스정거장 옆,서초구,염곡동 189-19,37.45916748,127.0554428,2021-02-19,,10,QR
2549,LH 서초 4단지 403동,서초구,우면동 788,37.45924759,127.0239029,2020-06-15,,10,QR
2536,서초종합체육관 입구,서초구,서초구 원지동 28,37.45924759,127.0416336,2020-02-19,,20,QR
3974, 안천중학교,금천구,한내로69-44,37.45936584,126.8867798,2021-09-30,,10,QR
2248,서초리슈빌S 글로벌 앞,서초구,서울특별시 서초구 양재대로2길 8,37.45995331,127.0247421,2017-06-27,10,,LCD
1846,롯데캐슬골드파크1차 동문,금천구,서울특별시 금천구 독산동 441-19 ,37.46017075,126.8960419,2017-11-01,15,,LCD
1845,롯데캐슬골드파크1차 서문,금천구,서울특별시 금천구 벚꽃로40 ,37.460289,126.892189,2017-11-01,15,,LCD
1863,위너스 스포츠클럽 골프연습장옆,금천구,시흥대로 302 옆,37.46053696,126.8986054,2020-02-24,,14,QR
1857,주공14단지,금천구,금천구 한내로 69-54,37.46055984,126.8870926,2020-10-28,,15,QR
3637,세곡데이케어센터,강남구,헌릉로 590길 68,37.46072388,127.1028748,2021-06-01,,5,QR
1847,독산주공 14단지 버스정류소,금천구,서울특별시 금천구 안양천로,37.46093369,126.8871689,2017-11-01,10,,LCD
1862,스타즈호텔독산 빌딩 앞,금천구,시흥대로 315,37.46134567,126.897583,2020-02-24,,30,QR
